procs, N, execution_time, num_of_unique
1, 10000, 9.563765, 22504348
2, 10000, 6.008358, 22504348
3, 10000, 4.362962, 22504348
4, 10000, 3.539696, 22504348
5, 10000, 2.774939, 22504348
6, 10000, 2.777144, 22504348
7, 10000, 2.144049, 22504348
8, 10000, 2.211149, 22504348
9, 10000, 2.028460, 22504348
10, 10000, 2.035421, 22504348
11, 10000, 1.509105, 22504348
12, 10000, 1.787329, 22504348
13, 10000, 1.337521, 22504348
14, 10000, 1.458195, 22504348
15, 10000, 1.442706, 22504348
16, 10000, 1.365792, 22504348
17, 10000, 1.093042, 22504348
18, 10000, 1.313360, 22504348
19, 10000, 1.019969, 22504348
20, 10000, 1.229900, 22504348
21, 10000, 1.112704, 22504348
22, 10000, 1.065866, 22504348
23, 10000, 0.869604, 22504348
24, 10000, 1.133244, 22504348
25, 10000, 0.928613, 22504348
26, 10000, 0.928826, 22504348
27, 10000, 0.921849, 22504348
28, 10000, 0.975356, 22504348
29, 10000, 0.708873, 22504348
30, 10000, 1.003877, 22504348
31, 10000, 0.723735, 22504348
32, 10000, 0.868596, 22504348
33, 10000, 0.839594, 22504348
34, 10000, 0.786790, 22504348
35, 10000, 0.808749, 22504348
36, 10000, 0.905874, 22504348
37, 10000, 0.625050, 22504348
38, 10000, 0.940772, 22504348
39, 10000, 0.761570, 22504348
40, 10000, 0.826363, 22504348