num_of_processors, N, execution_time (s)
1, 10, 0.000020
1, 50, 0.001130
1, 100, 0.014898
1, 200, 0.221374
1, 500, 7.828716
1, 1000, 118.505478
2, 10, 0.000119
2, 50, 0.000668
2, 100, 0.006995
2, 200, 0.100579
2, 500, 3.520650
2, 1000, 52.993843
3, 10, 0.000125
3, 50, 0.000468
3, 100, 0.003877
3, 200, 0.052809
3, 500, 1.846140
3, 1000, 27.815662
4, 10, 0.001595
4, 50, 0.001612
4, 100, 0.004039
4, 200, 0.040342
4, 500, 1.352834
4, 1000, 20.211187
5, 10, 0.002459
5, 50, 0.001405
5, 100, 0.003275
5, 200, 0.024113
5, 500, 0.780684
5, 1000, 11.668300
6, 10, 0.002555
6, 50, 0.002633
6, 100, 0.002988
6, 200, 0.024912
6, 500, 0.809165
6, 1000, 12.072978
7, 10, 0.002509
7, 50, 0.002549
7, 100, 0.002328
7, 200, 0.014014
7, 500, 0.430160
7, 1000, 6.358090
8, 10, 0.002830
8, 50, 0.002896
8, 100, 0.003513
8, 200, 0.014576
8, 500, 0.476289
8, 1000, 7.105629
9, 10, 0.002749
9, 50, 0.003719
9, 100, 0.002260
9, 200, 0.011730
9, 500, 0.349763
9, 1000, 5.235202
10, 10, 0.003659
10, 50, 0.003983
10, 100, 0.004869
10, 200, 0.011547
10, 500, 0.342219
10, 1000, 5.077485
11, 10, 0.003721
11, 50, 0.003961
11, 100, 0.004114
11, 200, 0.009677
11, 500, 0.190799
11, 1000, 2.787843
12, 10, 0.003995
12, 50, 0.003813
12, 100, 0.004338
12, 200, 0.011470
12, 500, 0.303645
12, 1000, 4.521251
13, 10, 0.002734
13, 50, 0.001874
13, 100, 0.003168
13, 200, 0.005680
13, 500, 0.140040
13, 1000, 2.049041
14, 10, 0.002904
14, 50, 0.001622
14, 100, 0.003167
14, 200, 0.007006
14, 500, 0.187827
14, 1000, 2.780129
15, 10, 0.001658
15, 50, 0.003829
15, 100, 0.003680
15, 200, 0.005709
15, 500, 0.177749
15, 1000, 2.621099
16, 10, 0.002874
16, 50, 0.003009
16, 100, 0.004306
16, 200, 0.006375
16, 500, 0.162669
16, 1000, 2.372654
17, 10, 0.003926
17, 50, 0.003932
17, 100, 0.004064
17, 200, 0.005437
17, 500, 0.087511
17, 1000, 1.242527
18, 10, 0.004257
18, 50, 0.003941
18, 100, 0.004841
18, 200, 0.007342
18, 500, 0.152643
18, 1000, 2.237825
19, 10, 0.004502
19, 50, 0.004323
19, 100, 0.003075
19, 200, 0.005140
19, 500, 0.071726
19, 1000, 1.016292
20, 10, 0.003283
20, 50, 0.004451
20, 100, 0.003207
20, 200, 0.005636
20, 500, 0.130862
20, 1000, 1.896995
21, 10, 0.004090
21, 50, 0.005303
21, 100, 0.004240
21, 200, 0.004888
21, 500, 0.098854
21, 1000, 1.440197
22, 10, 0.005947
22, 50, 0.004119
22, 100, 0.004267
22, 200, 0.006602
22, 500, 0.084720
22, 1000, 1.224396
23, 10, 0.003078
23, 50, 0.004244
23, 100, 0.003267
23, 200, 0.004359
23, 500, 0.049168
23, 1000, 0.725504
24, 10, 0.003174
24, 50, 0.005637
24, 100, 0.003593
24, 200, 0.007541
24, 500, 0.106981
24, 1000, 1.567110
25, 10, 0.004501
25, 50, 0.004358
25, 100, 0.003291
25, 200, 0.004954
25, 500, 0.063104
25, 1000, 0.872842
26, 10, 0.004630
26, 50, 0.004628
26, 100, 0.004720
26, 200, 0.005040
26, 500, 0.064257
26, 1000, 0.900919
27, 10, 0.003311
27, 50, 0.004340
27, 100, 0.005596
27, 200, 0.005564
27, 500, 0.061360
27, 1000, 0.891730
28, 10, 0.004693
28, 50, 0.004368
28, 100, 0.005746
28, 200, 0.007022
28, 500, 0.072647
28, 1000, 1.035415